,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
14,0.158113796,-0.017922642,0.029275582,-0.048176582,-0.049143102,-0.048176572,-0.071470145,-0.048231679,-0.048176656,-0.04605713,-0.040715245,-0.043016406,0.363371855,-0.084432848,-0.010944194,-0.15925653,-0.050155192,0.197758997,-0.058999443,-0.048184711,-0.048175487,-0.047582644,-0.041139905,-0.043351022
15,0.132932601,-0.061585163,-0.019649224,-0.034174783,-0.033863833,-0.034174749,-0.064207233,-0.034264252,-0.034181936,-0.029229498,-0.016031832,-0.038049229,0.109820374,-0.19881355,-0.060837172,-0.150090198,-0.038257144,0.050732566,-0.043319136,-0.034203017,-0.034180261,-0.03157468,-0.014113438,-0.038175559
16,-0.00867348,0.046389932,-0.04495155,-0.038904491,-0.038655663,-0.038904417,-0.080236492,-0.038887206,-0.038906091,-0.03594626,-0.025901123,-0.03552766,0.127717741,-0.087956698,-0.035096274,-0.151354896,-0.040472026,-0.038409578,-0.044854891,-0.038867533,-0.038903852,-0.037552338,-0.027015344,-0.038954316
17,0.013034286,-0.069190796,0.063362284,-0.028614589,-0.028103035,-0.028614558,-0.043153811,-0.02850741,-0.028627749,-0.027813284,-0.012617714,-0.024898851,0.029561496,-0.209871753,-0.053423626,-0.156801642,-0.037719879,-0.035881766,-0.03073611,-0.028523869,-0.028622749,-0.029352817,-0.012245877,-0.027188257
18,-0.132359086,-0.06614782,0.038407802,-0.017327581,-0.014294848,-0.017327549,-0.050087561,-0.017387779,-0.01733137,-0.016292451,-0.006749637,-0.019407941,-0.068745735,-0.126277534,-0.002190136,-0.061317176,-0.01944794,0.03185513,-0.020545197,-0.017353177,-0.017329683,-0.016862066,-0.007086224,-0.020303241
19,0.082100448,0.062122684,-0.072412567,-0.037572251,-0.035054527,-0.037572223,-0.050137412,-0.037559174,-0.037561454,-0.037312767,-0.023843061,-0.039141355,0.164566447,-0.020837338,0.016896888,-0.136483858,-0.038896062,0.02483755,-0.042285629,-0.037539333,-0.037564805,-0.038836075,-0.022911366,-0.040606251
20,-0.057369858,-0.021107498,-0.008388786,-0.051016552,-0.05023914,-0.051016461,-0.083687083,-0.050973011,-0.051022642,-0.051201641,-0.039075127,-0.041519768,-0.002112637,-0.188383465,0.001785869,-0.067562531,-0.046100834,0.112967394,-0.057168002,-0.050977914,-0.051019858,-0.05290273,-0.039690054,-0.043496097
21,0.103993294,0.00203004,-0.041178326,-0.064027002,-0.065519444,-0.064026977,-0.074411549,-0.063982304,-0.064030945,-0.061391496,-0.051994735,-0.067550699,0.16779904,-0.115736688,-0.023989303,-0.135271351,-0.063555759,0.064083485,-0.071935785,-0.063967074,-0.064028692,-0.063210469,-0.050648073,-0.069216506
22,-0.064452581,-0.066016231,0.044935339,-0.032723615,-0.033100504,-0.032723522,-0.111044055,-0.03286594,-0.032726341,-0.032100067,-0.028173889,-0.02405325,0.000138213,-0.141480716,-0.014714308,-0.113156521,-0.030203396,0.130380375,-0.051091908,-0.032782624,-0.032726435,-0.03226971,-0.028593243,-0.025486454
23,0.106135914,0.002795817,-0.029772021,-0.075122263,-0.07160762,-0.075122251,-0.117136174,-0.075047914,-0.075124512,-0.075114337,-0.062910615,-0.071562866,0.101682327,-0.131032164,-0.047170437,-0.144768334,-0.069032676,0.002662061,-0.091568966,-0.07503873,-0.075122101,-0.07672787,-0.060794785,-0.071583621
24,0.153282609,0.030560207,0.017773356,-0.023709928,-0.020986121,-0.02370989,-0.044352653,-0.023588409,-0.02371916,-0.022768265,-0.00581418,-0.02149591,0.243662229,-0.012312989,-0.027267137,-0.130202004,-0.0232427,-0.000437198,-0.029125506,-0.023608749,-0.023714407,-0.025061254,-0.005537021,-0.023374659
25,0.0710667,-0.01261647,0.0252507,-0.009881408,-0.00878215,-0.009881346,-0.015144856,-0.009889663,-0.009884868,-0.009979204,-0.004545328,-0.00570898,0.14913953,-0.149762533,0.022352151,-0.102525543,-0.010094892,-0.039528998,-0.008770102,-0.009864236,-0.009883882,-0.010893064,-0.00598884,-0.007852911
26,0.096169621,0.031528002,0.036322796,-0.04222975,-0.036773402,-0.042229693,-0.055152913,-0.042200925,-0.042228432,-0.042519317,-0.025942077,-0.048558883,0.186457085,-0.072125123,-0.026323572,-0.095181028,-0.035437863,0.032548749,-0.047029368,-0.042204145,-0.042228688,-0.044811203,-0.025284743,-0.050118164
27,0.075975242,-0.028955515,0.009986003,-0.053438339,-0.052104146,-0.053438283,-0.076071344,-0.053464468,-0.053438607,-0.050465532,-0.037655221,-0.05666622,0.032141027,-0.117447813,0.014567013,-0.080818545,-0.050156712,-0.059926953,-0.062503326,-0.0534314,-0.053438525,-0.05208841,-0.038187106,-0.056466075
28,0.055420817,-0.057510588,-0.029320014,-0.065025733,-0.064351656,-0.0650257,-0.086592242,-0.065025438,-0.065026266,-0.063516183,-0.058469817,-0.063135547,0.130643954,-0.130652116,0.0082954,-0.135770814,-0.062061971,0.061325214,-0.071129488,-0.065025592,-0.065025751,-0.064121286,-0.058823819,-0.063731463
29,0.111877138,-0.039895232,-0.001177207,-0.049265818,-0.049831929,-0.04926578,-0.071476871,-0.049249439,-0.049265012,-0.048414521,-0.037037501,-0.043523494,0.182004343,-0.153878459,0.02012153,-0.10054709,-0.052523079,0.079490824,-0.057140529,-0.049226874,-0.049265907,-0.049000967,-0.040234418,-0.04370719
30,0.085192317,0.066274986,0.120547044,-0.046244329,-0.045696591,-0.046244305,-0.053534063,-0.046181774,-0.046244686,-0.047228778,-0.033283392,-0.042184753,0.239305134,0.019548896,0.061369262,-0.07758215,-0.047663227,0.120573652,-0.051559343,-0.046192152,-0.046243276,-0.049147018,-0.033278593,-0.042368048
