,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
2589,0.12477582,0.004746244,0.019530466,-0.035454451,-0.039216299,-0.035454206,-0.050244312,-0.035098622,-0.035409225,-0.03318187,0.004530057,-0.033589274,0.26998244,-0.056433392,0.084759123,-0.167509786,-0.039261324,0.152554159,-0.047020394,-0.035150318,-0.035418112,-0.033417165,0.005259442,-0.034697669
2590,0.074843791,0.031979431,0.027638421,-0.030861162,-0.041526017,-0.030861037,-0.038541184,-0.030569023,-0.030870893,-0.029211234,-0.013446502,-0.031694243,0.114225247,-0.112746505,0.027011755,-0.058476155,-0.043180772,0.16832149,-0.035577329,-0.030526599,-0.030837322,-0.029590436,-0.013564838,-0.034530226
2591,0.115130827,0.026292016,0.032531396,-0.037427462,-0.044132487,-0.037427242,-0.06326443,-0.036734166,-0.037427898,-0.037029,-0.014648622,-0.042034062,0.261872335,-0.074404328,0.061247521,-0.062775022,-0.045351226,0.051151696,-0.053184208,-0.036846342,-0.037412452,-0.037328022,-0.01567349,-0.042211385
2592,0.069568454,0.091933022,0.031079022,-0.033104422,-0.035508988,-0.033104128,-0.053749317,-0.032850147,-0.033136972,-0.032850367,-0.010899879,-0.032581503,0.1726006,-0.003445362,0.038138353,-0.061015077,-0.035956636,0.033732876,-0.045648305,-0.03293523,-0.033115865,-0.033278473,-0.009988693,-0.034815169
2593,0.089656858,-0.036577532,-0.004063192,-0.017133636,-0.020570456,-0.017133305,-0.042033194,-0.016935108,-0.017152262,-0.018258333,0.006832065,-0.020120522,0.13980203,-0.093390441,0.006830254,-0.087064397,-0.021463109,0.04230548,-0.033303022,-0.016907905,-0.017126076,-0.018682011,0.008511498,-0.021810804
2594,0.047554495,-0.033168389,-0.076163994,-0.040284138,-0.037678196,-0.040283914,-0.063306649,-0.039065205,-0.040250473,-0.041621368,-0.015537278,-0.041457864,0.135606662,-0.096169751,0.018543419,-0.092117031,-0.038028633,0.165280198,-0.054782759,-0.039401789,-0.04025239,-0.041925247,-0.018049757,-0.041045654
2595,0.102687433,-0.079553343,-0.124533425,-0.043342241,-0.048902134,-0.043342123,-0.04951868,-0.042466228,-0.043297166,-0.044637398,-0.023059218,-0.047790951,0.086254017,-0.186795394,-0.17902832,-0.078094239,-0.050928719,-0.111413634,-0.049217857,-0.042716683,-0.043311674,-0.045400373,-0.023784284,-0.050040714
2596,0.06011303,0.040496973,-0.015253758,-0.03736308,-0.043682668,-0.037362791,-0.057469994,-0.037857032,-0.037358775,-0.039882603,-0.025748355,-0.035907688,0.105698572,-0.101181497,0.021275076,-0.071191024,-0.04438225,0.00713197,-0.049233634,-0.037504891,-0.037345103,-0.040584816,-0.027656017,-0.035532653
2597,-0.005941858,0.133978877,-0.017262464,-0.036344036,-0.043211221,-0.036343689,-0.089083273,-0.035739353,-0.036394336,-0.034823148,-0.023760135,-0.040338591,0.078223692,0.01204474,0.050165369,-0.088867718,-0.045163346,0.002194237,-0.066506983,-0.035912558,-0.036356499,-0.035186883,-0.022013999,-0.042197637
2598,0.116392497,0.047430631,0.031270622,-0.045318229,-0.05161799,-0.045318105,-0.039816971,-0.045207011,-0.045313126,-0.043677063,-0.032443801,-0.050216992,0.21631165,-0.011277929,0.019547845,-0.120328437,-0.053175341,-0.069845803,-0.042155808,-0.045038635,-0.045268612,-0.044000522,-0.03098523,-0.050636278
